SRC	DST	REASON
g/DELEGATION_QUICK_REF.md	docs/DELEGATION_QUICK_REF.md	out-of-zone
g/FILE_DISCOVERY_PROTOCOL.md	docs/FILE_DISCOVERY_PROTOCOL.md	out-of-zone
reports/proof/251008_0231_EVIDENCE.md	docs/251008_0231_EVIDENCE.md	out-of-zone
reports/proof/251008_0231_proof.md	docs/251008_0231_proof.md	out-of-zone
reports/proof/251008_0257_MOVEPLAN.tsv	g/reports/251008_0257_MOVEPLAN.tsv	out-of-zone
02luka.md	docs/02luka.md	out-of-zone
02luka.md.bak	.trash/251008_0257/02luka.md.bak	out-of-zone
404.html	g/web/404.html	out-of-zone
AUTOSTART_CONFIG.md	docs/AUTOSTART_CONFIG.md	out-of-zone
CHAT_WINDOW_README.md	docs/CHAT_WINDOW_README.md	out-of-zone
CLC_CLI_DEPLOYMENT_REPORT.md	docs/CLC_CLI_DEPLOYMENT_REPORT.md	out-of-zone
CODEx_INSTRUCTIONS.md	docs/CODEx_INSTRUCTIONS.md	out-of-zone
CONTEXT_ENGINEERING.md	docs/CONTEXT_ENGINEERING.md	out-of-zone
DEPLOY.md	docs/DEPLOY.md	out-of-zone
DEPLOYMENT_STATUS_FINAL.md	docs/DEPLOYMENT_STATUS_FINAL.md	out-of-zone
MCP_DEPLOYMENT_COMPLETE.md	docs/MCP_DEPLOYMENT_COMPLETE.md	out-of-zone
MCP_FINAL_CONFIG.md	docs/MCP_FINAL_CONFIG.md	out-of-zone
MCP_SIMPLIFIED_CONFIG.md	docs/MCP_SIMPLIFIED_CONFIG.md	out-of-zone
README.md	docs/README.md	out-of-zone
TASK_BUS_DEPLOYMENT.md	docs/TASK_BUS_DEPLOYMENT.md	out-of-zone
TASK_BUS_SYSTEM.md	docs/TASK_BUS_SYSTEM.md	out-of-zone
TASK_BUS_VERIFICATION.md	docs/TASK_BUS_VERIFICATION.md	out-of-zone
a/memory/README.md	docs/README.md	out-of-zone
